SS:3
TTFW:0.8
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Krys-1,true,1.00,12696,528,12653,401,672799,1874
Krys-2,true,1.00,2437,348,2418,72,101587,506
Krys-3,true,1.00,9778,454,9775,303,497396,1487
Krys-4,true,1.00,8434,378,8433,268,447967,1456
Krys-5,true,1.00,10,329,7,1,366,52
Krys-6,true,1.00,1686,341,1656,50,83189,1635
Krys-7,true,1.00,13,375,10,1,522,149
Krys-8,true,1.00,1196,362,1178,36,56239,543
Krys-9,true,1.00,24,335,8,1,432,74
Krys-10,true,1.00,4345,398,4335,131,212905,1151
Krys-11,true,1.00,31,384,28,1,900,248
Krys-12,true,1.00,8458,414,8440,256,437718,1501
Krys-13,true,1.00,29,344,21,1,791,282
Krys-14,true,1.00,6729,347,6728,209,323330,1506
Krys-15,true,1.00,37,366,34,1,778,437
Krys-16,true,1.00,4839,415,4806,146,227899,1311
