SS:3
TTFW:1.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Mario-1,true,1.00,56,427,45,1,261,24
Mario-2,true,1.00,238,322,205,6,603,39
Mario-3,true,1.00,191,288,174,5,816,134
Mario-4,true,1.00,1595,432,1585,43,24256,984
Mario-5,true,1.00,640,464,627,18,1647,40
Mario-6,true,1.00,122,287,99,3,4080,855
Mario-7,true,1.00,32,461,12,1,743,367
Mario-8,true,1.00,1311,299,1278,37,41983,1639
Mario-9,true,1.00,77,389,12,1,228,46
Mario-10,true,1.00,244,293,224,7,3117,186
Mario-11,true,1.00,39,397,23,1,530,252
Mario-12,true,1.00,392,556,381,12,10742,555
Mario-13,true,1.00,7,305,5,1,273,42
Mario-14,true,1.00,23,380,5,1,217,25
Mario-15,true,1.00,47,779,26,1,689,52
