SS:9
TTFW:1.8
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
patternCount-1,false,0.80,13852,511,13852,511,305223,674
patternCount-2,true,1.00,10,576,6,1,105,8
patternCount-3,true,1.00,19537,804,19537,782,423428,626
patternCount-4,true,1.00,5127,664,5123,181,103124,566
patternCount-5,true,1.00,61,695,57,5,617,86
patternCount-6,true,1.00,11,593,7,2,117,10
patternCount-7,true,1.00,138,857,133,83,3173,142
patternCount-8,true,1.00,17862,714,17859,659,391384,505
patternCount-9,true,1.00,13,596,9,1,172,52
patternCount-10,true,1.00,25,674,20,1,117,21
patternCount-11,true,1.00,19274,779,19273,724,403544,724
patternCount-12,true,1.00,12,571,9,1,158,45
patternCount-13,true,1.00,26,603,22,3,437,238
patternCount-14,true,1.00,100,663,96,3,1783,308
patternCount-15,true,1.00,35,747,8,1,148,24
patternCount-16,true,1.00,22,582,9,1,158,27
