SS:3
TTFW:1.4
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Krys-1,true,1.00,10134,560,10092,313,539457,1329
Krys-2,true,1.00,6504,387,6492,195,298419,1436
Krys-3,true,1.00,10744,526,10711,333,596597,1238
Krys-4,true,1.00,7014,445,6984,211,393898,1977
Krys-5,true,1.00,11,403,8,1,455,85
Krys-6,true,1.00,1208,401,1186,36,66262,1148
Krys-7,true,1.00,26,404,22,1,439,101
Krys-8,true,1.00,2391,438,2359,72,114381,1080
Krys-9,true,1.00,20,406,10,1,408,131
Krys-10,true,1.00,581,430,577,16,20840,1117
Krys-11,true,1.00,12,408,10,1,356,57
Krys-12,true,1.00,8867,438,8865,269,489586,1745
Krys-13,true,1.00,23,449,19,1,645,88
Krys-14,true,1.00,7146,409,7127,217,340246,1445
Krys-15,true,1.00,7295,394,7293,221,424466,1894
Krys-16,true,1.00,6890,446,6888,213,341861,1227
