SS:10
RWB:176
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Krys-1,false,0.38,19768,999,19761,999,1325189,405
Krys-2,true,1.00,1468,441,1441,424,112382,2303
Krys-3,true,1.00,5800,544,5776,510,494401,2822
Krys-4,true,1.00,2255,446,2225,422,188784,2303
Krys-5,true,1.00,4364,435,4360,405,460200,2950
Krys-6,true,1.00,1059,380,1052,350,107231,3597
Krys-7,true,1.00,227,340,211,317,17987,1219
Krys-8,true,1.00,2176,489,2159,463,214847,4156
Krys-9,true,1.00,3344,388,3342,358,373959,3630
Krys-10,true,1.00,1229,394,1225,367,131291,2716
Krys-11,true,1.00,142,353,136,326,12378,217
Krys-12,true,1.00,2654,450,2652,416,197370,2396
Krys-13,true,1.00,6734,512,6728,478,639281,2758
Krys-14,true,1.00,712,370,704,342,38869,1622
Krys-15,true,1.00,4459,415,4457,381,454424,3261
Krys-16,false,0.39,26076,999,26069,999,1565741,2303
Krys-17,true,1.00,2416,476,2412,453,214204,2303
Krys-18,true,1.00,1588,473,1576,447,167415,4287
Krys-19,true,1.00,4847,423,4846,396,466976,3523
Krys-20,true,1.00,4545,607,4542,585,469252,3509
Krys-21,true,1.00,2678,386,2624,359,301132,2602
Krys-22,true,1.00,4371,477,4337,443,492179,3657
Krys-23,true,1.00,1809,483,1774,450,125468,1642
Krys-24,true,1.00,5498,511,5495,477,479242,2618
Krys-25,true,1.00,1871,370,1869,336,153994,3210
Krys-26,false,0.62,6391,370,6387,370,712255,2753
Krys-27,true,1.00,2699,417,2652,387,186782,1697
Krys-28,true,1.00,3839,529,3835,495,383199,2930
Krys-29,true,1.00,1468,416,1467,398,120266,2025
Krys-30,true,1.00,2868,519,2862,491,227638,1821
Krys-31,true,1.00,1463,437,1459,411,157007,2335
Krys-32,true,1.00,269,408,264,390,23443,759
Krys-33,true,1.00,344,348,343,325,32607,2656
Krys-34,true,1.00,2362,496,2357,462,196186,2095
Krys-35,true,1.00,4070,408,4068,391,464694,3402
Krys-36,true,1.00,3713,419,3708,394,362718,4267
Krys-37,true,1.00,7559,527,7557,509,663424,2976
Krys-38,true,1.00,5516,506,5515,478,576129,3520
Krys-39,true,1.00,6130,499,6127,474,572731,3747
Krys-40,true,1.00,5590,505,5589,479,621749,4783
Krys-41,false,0.70,25642,999,25642,999,1622460,3040
Krys-42,true,1.00,2941,419,2938,396,320865,2960
Krys-43,true,1.00,3906,408,3903,377,420494,3154
Krys-44,true,1.00,4994,461,4991,427,508921,3406
Krys-45,true,1.00,917,438,915,407,62281,1559
Krys-46,true,1.00,1848,462,1841,428,139555,2002
Krys-47,true,1.00,840,454,834,425,80137,1680
Krys-48,true,1.00,3090,373,3083,342,327526,3179
Krys-49,true,1.00,1175,406,1175,372,105722,2918
Krys-50,true,1.00,6129,548,6127,517,613270,3112
Krys-51,true,1.00,4879,475,4876,442,525454,3354
Krys-52,true,1.00,2050,499,2047,474,206556,3194
Krys-53,true,1.00,1812,487,1806,462,135758,1469
Krys-54,true,1.00,5423,540,5419,505,560436,3168
Krys-55,true,1.00,2804,482,2799,454,235025,2236
Krys-56,true,1.00,1195,398,1191,370,110696,2236
Krys-57,true,1.00,4876,433,4875,402,442931,2125
Krys-58,true,1.00,2775,488,2771,470,234095,2236
Krys-59,true,1.00,1264,436,1261,402,86228,1743
Krys-60,true,1.00,3344,426,3312,401,307856,3440
Krys-61,false,0.48,19443,999,19419,999,1270479,1821
Krys-62,true,1.00,981,407,977,389,69411,1948
Krys-63,true,1.00,2397,509,2393,478,178956,1755
Krys-64,true,1.00,2813,518,2808,487,233674,1975
Krys-65,true,1.00,1931,504,1925,487,139098,1561
Krys-66,true,1.00,1861,427,1858,396,134462,1874
Krys-67,true,1.00,2199,510,2197,478,191627,2524
Krys-68,true,1.00,4825,403,4821,369,446616,2614
Krys-69,true,1.00,5746,655,5740,629,389031,2008
Krys-70,true,1.00,5172,463,5171,435,492214,3545
Krys-71,false,0.72,5572,370,5571,370,600280,2879
Krys-72,true,1.00,1203,492,1201,466,123957,3426
Krys-73,true,1.00,3474,474,3470,438,296648,3350
Krys-74,true,1.00,1436,394,1434,360,119714,1651
Krys-75,true,1.00,566,396,564,362,39213,1651
Krys-76,true,1.00,4767,400,4765,380,473866,3215
Krys-77,true,1.00,1247,372,1242,341,134856,3490
Krys-78,false,0.70,25514,999,25512,999,1717435,2836
Krys-79,true,1.00,583,402,580,374,44744,953
Krys-80,true,1.00,321,420,319,388,27231,654
Krys-81,true,1.00,1322,386,1321,359,137435,2830
Krys-82,true,1.00,694,374,692,340,49915,880
Krys-83,true,1.00,4303,445,4298,416,388049,3295
Krys-84,true,1.00,170,347,166,310,17703,1821
Krys-85,true,1.00,3618,515,3616,484,326820,2897
Krys-86,true,1.00,1772,406,1770,379,144711,1340
Krys-87,true,1.00,558,359,554,341,37958,656
Krys-88,true,1.00,1810,460,1808,435,143803,1921
Krys-89,true,1.00,1666,427,1666,396,153909,2939
Krys-90,true,1.00,5365,433,5364,408,536587,2711
Krys-91,true,1.00,770,394,765,348,82764,2303
Krys-92,true,1.00,5456,522,5451,495,497076,3531
Krys-93,true,1.00,2608,381,2607,348,325532,4196
Krys-94,true,1.00,1857,372,1855,343,212216,3464
Krys-95,true,1.00,954,356,950,338,69736,811
Krys-96,true,1.00,4944,451,4943,417,488880,2458
Krys-97,true,1.00,1574,398,1571,370,149292,3001
Krys-98,true,1.00,3180,564,3176,541,241610,2155
Krys-99,true,1.00,896,447,888,413,67109,1216
Krys-100,false,0.62,4132,293,4132,293,472211,3565
