SS:4
RWB:248
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
notch-1,true,1.00,766,277,765,254,77699,3362
notch-2,true,1.00,908,279,907,257,99852,2706
notch-3,true,1.00,824,249,820,227,83662,1678
notch-4,true,1.00,943,250,940,226,97696,2799
notch-5,true,1.00,656,257,652,231,67452,3364
notch-6,true,1.00,730,276,727,253,74864,2465
notch-7,true,1.00,502,264,501,242,51273,2431
notch-8,true,1.00,525,286,523,249,53047,1721
notch-9,true,1.00,963,258,962,236,99905,2422
notch-10,true,1.00,1041,267,1041,245,108793,2455
notch-11,true,1.00,801,260,799,236,81919,3036
notch-12,true,1.00,632,248,627,224,63755,3049
notch-13,true,1.00,711,264,709,242,74434,2848
notch-14,true,1.00,921,261,919,237,90648,1848
notch-15,true,1.00,885,266,884,244,90242,2772
notch-16,true,1.00,1132,280,1129,247,121593,2619
notch-17,true,1.00,930,264,928,240,93996,2567
notch-18,true,1.00,1063,311,1062,286,115953,2109
notch-19,true,1.00,1075,241,1073,218,112871,3045
notch-20,true,1.00,926,283,925,261,99564,2361
notch-21,true,1.00,935,293,934,271,98659,2566
notch-22,true,1.00,581,245,579,222,56502,2111
notch-23,true,1.00,794,256,794,225,81666,2839
notch-24,true,1.00,567,269,565,247,60469,1365
notch-25,true,1.00,976,303,974,281,100063,2265
notch-26,true,1.00,731,264,730,236,71825,1719
notch-27,true,1.00,1630,278,1626,254,172180,3011
notch-28,true,1.00,717,263,717,235,61895,2025
notch-29,true,1.00,1049,271,1047,245,108559,3483
notch-30,true,1.00,989,244,987,220,97304,2894
notch-31,true,1.00,596,259,592,236,60304,2689
notch-32,true,1.00,711,261,711,237,73029,3216
notch-33,true,1.00,791,250,789,226,80348,2595
notch-34,true,1.00,699,259,699,237,74952,3063
notch-35,true,1.00,531,275,531,252,53909,2502
notch-36,true,1.00,888,282,885,256,91982,2052
notch-37,true,1.00,1252,287,1248,247,134389,3387
notch-38,true,1.00,928,307,927,264,95526,2318
notch-39,true,1.00,583,230,580,206,57948,1273
notch-40,true,1.00,779,263,778,236,85326,2065
notch-41,true,1.00,1001,292,998,264,109098,2584
notch-42,true,1.00,975,250,972,227,99634,3284
notch-43,true,1.00,646,255,645,232,67224,3105
notch-44,true,1.00,594,235,594,213,60650,2779
notch-45,true,1.00,749,246,745,224,77159,2730
notch-46,true,1.00,719,261,719,239,75000,3056
notch-47,true,1.00,1154,277,1151,254,123486,3061
notch-48,true,1.00,1151,255,1151,232,121657,2950
notch-49,true,1.00,784,270,782,240,80208,1967
notch-50,true,1.00,865,286,863,261,89507,2905
notch-51,true,1.00,696,252,695,225,72058,3205
notch-52,true,1.00,658,264,657,241,69221,3265
notch-53,true,1.00,270,263,269,223,24493,2325
notch-54,true,1.00,1165,305,1162,277,127122,2017
notch-55,true,1.00,844,290,841,267,88532,2680
notch-56,true,1.00,736,265,736,241,75827,2920
notch-57,true,1.00,815,279,815,256,83012,2833
notch-58,true,1.00,1141,292,1138,263,119832,3374
notch-59,true,1.00,669,265,667,243,66591,1094
notch-60,true,1.00,1083,290,1078,268,109194,2894
notch-61,true,1.00,658,239,658,217,68983,1474
notch-62,true,1.00,1002,270,999,248,103612,2896
notch-63,true,1.00,916,303,915,269,104444,2503
notch-64,true,1.00,1011,250,1010,227,99890,2616
notch-65,true,1.00,1241,296,1239,270,134891,3350
notch-66,true,1.00,820,279,819,254,86332,3050
notch-67,true,1.00,857,241,856,219,83828,2315
notch-68,true,1.00,522,256,521,234,53260,2478
notch-69,true,1.00,1242,284,1239,262,130695,3187
notch-70,true,1.00,1138,273,1136,249,125011,4283
notch-71,true,1.00,1183,243,1182,221,121686,2283
notch-72,true,1.00,659,249,656,227,69417,2596
notch-73,true,1.00,664,270,663,248,66399,2520
notch-74,true,1.00,527,241,526,219,54367,2608
notch-75,true,1.00,1077,289,1075,262,114959,2845
notch-76,true,1.00,990,296,989,259,104127,3016
notch-77,true,1.00,607,261,605,239,60870,1697
notch-78,true,1.00,791,261,789,239,79578,2631
notch-79,true,1.00,1165,275,1164,244,119428,2966
notch-80,true,1.00,453,242,452,219,45636,2339
notch-81,true,1.00,1183,247,1181,225,121904,3304
notch-82,true,1.00,720,257,718,234,72331,2651
notch-83,true,1.00,1037,282,1036,242,107662,2508
notch-84,true,1.00,786,256,784,234,78706,1833
notch-85,true,1.00,512,272,508,247,55512,1829
notch-86,true,1.00,744,243,742,221,75955,2971
notch-87,true,1.00,747,241,746,218,75961,2453
notch-88,true,1.00,1055,297,1054,267,115554,3034
notch-89,true,1.00,1042,290,1042,267,111346,2622
notch-90,true,1.00,879,251,876,229,92191,2546
notch-91,true,1.00,1250,266,1248,243,129793,2729
notch-92,true,1.00,905,254,902,230,94677,2894
notch-93,true,1.00,763,267,762,239,77119,2213
notch-94,true,1.00,1238,268,1236,240,130770,2539
notch-95,true,1.00,589,246,588,223,60280,2695
notch-96,true,1.00,585,258,585,236,60466,1953
notch-97,true,1.00,952,287,949,264,103346,2730
notch-98,true,1.00,1053,255,1053,229,110437,2511
notch-99,true,1.00,1065,259,1064,236,115596,3316
notch-100,true,1.00,787,277,786,249,80556,3074
