SS:20
RWB:224
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Mario-1,true,1.00,809,392,700,352,22688,728
Mario-2,true,1.00,1507,345,1453,316,49046,1176
Mario-3,true,1.00,1937,291,1923,246,83869,2165
Mario-4,true,1.00,1618,389,1561,364,55539,1246
Mario-5,true,1.00,1414,388,1341,368,54015,1652
Mario-6,true,1.00,3440,330,3335,309,169416,2090
Mario-7,true,1.00,672,435,655,380,35182,1534
Mario-8,true,1.00,1208,452,1195,396,65822,1816
Mario-9,true,1.00,742,395,721,355,19265,993
Mario-10,true,1.00,2531,345,2482,302,119749,1957
Mario-11,true,1.00,877,409,861,370,44695,1118
Mario-12,true,1.00,1407,677,1381,640,57591,1547
Mario-13,true,1.00,2067,317,2049,295,114251,1359
Mario-14,true,1.00,329,345,282,313,11112,1414
Mario-15,true,1.00,2439,835,2396,801,119733,1769
