SS:8
RWB:124
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
patternCount-1,false,0.68,2092,325,2081,325,86601,992
patternCount-2,true,1.00,1303,447,1290,436,58345,1237
patternCount-3,false,0.91,4783,580,4765,580,201158,1193
patternCount-4,true,1.00,1389,450,1371,425,65104,1032
patternCount-5,true,1.00,1752,496,1723,484,77082,1017
patternCount-6,true,1.00,1037,442,1021,431,45324,1268
patternCount-7,true,1.00,1776,452,1757,441,78568,1146
patternCount-8,true,1.00,4073,519,4055,494,182772,1217
patternCount-9,true,1.00,1498,466,1482,455,67117,1228
patternCount-10,true,1.00,503,366,494,355,23537,1123
patternCount-11,false,0.81,4146,493,4131,493,185584,1368
patternCount-12,true,1.00,1308,477,1273,466,57169,648
patternCount-13,true,1.00,794,408,781,397,35225,956
patternCount-14,true,1.00,1246,412,1236,401,56319,1146
patternCount-15,true,1.00,1519,431,1502,420,69442,1217
patternCount-16,true,1.00,1314,452,1282,441,58501,969
patternCount-17,true,1.00,1385,443,1359,432,64914,1174
patternCount-18,false,0.98,1926,474,1913,474,92684,1308
patternCount-19,true,1.00,1390,438,1376,427,70193,1245
patternCount-20,true,1.00,1697,457,1684,446,87119,1281
patternCount-21,true,1.00,1090,446,1080,435,54765,1310
patternCount-22,true,1.00,4866,580,4853,558,252010,1451
patternCount-23,false,0.68,3709,376,3698,376,176226,1152
patternCount-24,true,1.00,13087,774,13071,761,694860,1836
patternCount-25,true,1.00,1043,456,1028,444,56358,1026
patternCount-26,true,1.00,815,430,798,419,43652,705
patternCount-27,true,1.00,1173,447,1161,436,63025,1111
patternCount-28,true,1.00,1646,460,1636,441,88605,1209
patternCount-29,true,1.00,1167,436,1156,425,62505,1260
patternCount-30,true,1.00,781,443,770,432,43775,916
patternCount-31,true,1.00,1899,471,1883,460,102545,1863
patternCount-32,true,1.00,1640,515,1621,504,87452,1082
patternCount-33,true,1.00,4843,559,4828,540,252540,1827
patternCount-34,true,1.00,3446,567,3432,552,185585,1613
patternCount-35,true,1.00,1556,509,1542,498,84868,1299
patternCount-36,true,1.00,5313,648,5301,635,276375,1351
patternCount-37,true,1.00,1120,419,1109,408,57516,1215
patternCount-38,true,1.00,4750,514,4735,503,243287,1530
patternCount-39,true,1.00,995,491,980,480,55225,871
patternCount-40,false,0.76,5842,499,5832,499,281535,1696
patternCount-41,true,1.00,3027,549,3016,538,178105,1463
patternCount-42,true,1.00,1392,467,1379,451,69610,1081
patternCount-43,true,1.00,816,446,801,435,48191,1126
patternCount-44,true,1.00,840,431,827,420,48934,834
patternCount-45,true,1.00,1690,469,1675,458,82075,1335
patternCount-46,true,1.00,1659,470,1631,459,50488,909
patternCount-47,true,1.00,2040,468,2026,457,113331,1099
patternCount-48,true,1.00,1649,485,1625,474,83595,1362
patternCount-49,true,1.00,1795,484,1783,469,76732,1022
patternCount-50,false,0.90,5309,527,5296,527,202687,1374
patternCount-51,true,1.00,1313,480,1304,469,60511,1241
patternCount-52,true,1.00,1069,431,1044,420,43011,1202
patternCount-53,false,0.78,4595,407,4587,407,201730,1684
patternCount-54,true,1.00,2172,492,2149,481,75852,885
patternCount-55,false,0.55,4177,343,4162,343,152111,1567
patternCount-56,true,1.00,1853,505,1836,494,86838,1005
patternCount-57,true,1.00,701,454,690,443,39863,454
patternCount-58,false,0.62,3011,421,3001,421,153204,1620
patternCount-59,true,1.00,1618,470,1606,459,88843,1226
patternCount-60,true,1.00,1211,452,1194,441,66920,1192
patternCount-61,true,1.00,1686,493,1674,481,92157,1763
patternCount-62,true,1.00,1798,439,1782,428,77688,1507
patternCount-63,true,1.00,1035,433,1023,422,39850,1225
patternCount-64,true,1.00,1089,442,1080,431,62018,1608
patternCount-65,true,1.00,1225,461,1216,449,72585,2036
patternCount-66,true,1.00,1612,451,1601,440,93346,1194
patternCount-67,true,1.00,1799,445,1780,428,101807,1690
patternCount-68,true,1.00,811,421,795,410,40618,788
patternCount-69,true,1.00,1173,458,1157,447,48859,944
patternCount-70,true,1.00,1267,462,1255,451,72254,1369
patternCount-71,true,1.00,1632,466,1617,455,92968,994
patternCount-72,false,0.82,6213,510,6204,510,298438,1311
patternCount-73,true,1.00,2232,517,2223,506,127995,1511
patternCount-74,false,0.82,8008,588,7997,588,315028,1711
patternCount-75,true,1.00,1405,468,1394,457,45344,762
patternCount-76,true,1.00,1331,441,1320,430,72906,1101
patternCount-77,true,1.00,1742,486,1719,475,64215,872
patternCount-78,true,1.00,2264,534,2253,523,125698,1262
patternCount-79,false,0.75,2604,422,2597,422,149932,1485
patternCount-80,true,1.00,4279,604,4271,586,219299,1303
patternCount-81,true,1.00,1380,454,1359,443,47104,1003
patternCount-82,true,1.00,1198,455,1188,444,68734,1429
patternCount-83,true,1.00,894,455,879,444,48971,1045
patternCount-84,true,1.00,1048,446,1041,435,59661,1182
patternCount-85,true,1.00,821,422,808,411,49172,1076
patternCount-86,true,1.00,1422,458,1403,447,84281,1516
